そこの人、 頼み事とかありますか？	What can I do for you, stranger?
冷やかしじゃなかったのか、ありがとよ	Thank you for not loitering.
オーケー	Okay.
昔は鍬や鎌を 売っていたんだが、 モンスターが現れてからは 剣や盾、 鎧や槍を売っているよ・・・	I used to sell ploughs and scythes to farmers, but since the monsters it's been swords and shields, greaves and spears.
うちの服は丈夫だよ。 戦場でも破れやしないよ。	My wares are sturdy. They'll hold up in the pitch of battle.
うちの装備は雑だがよ、 頑丈だし しっかり働いてくれるぜ	My equipment may be crude, but they're strong and they'll do the job.
あなたが戦場で 必要になる物は 全て置いてありますよ	I sell everything you could need in battle.
この盾はとても丈夫だよ	Those shields are quite sturdy.
見た目はよくない かもしれないが、 この剣は良く斬れるぜ	They're not fancy, but the blades are sharp.
なんだい？ 旅人さん	Yes, stranger?
何か御用ですか？	Can I help you?
何か忘れものですか？	Forgot something?
こんにちは	Hello.
良い一日を	Good day.
アルテミスのお導きを	Artemis guide you.
体をお大事に	Go in health.
神々が微笑んで おられますよ	Gods smile on you.
また 来てくださいね	Come again.
さようなら	Farewell.
ようこそ！ ようこそ！ あんたみたいな 強ぇ戦士が探している 装備が揃ってるよ。	Welcome! Welcome! A fine warrior like yourself – I'm sure I've got just what you're looking for.
バックラーに 丈夫な棍棒！ これが君の探している ものだろう？ 違うかい？	A buckler and a sturdy club! That's what you're looking for! Am I right?
ふむ、 弓と矢が必要と見た。 違うかい？	You strike me as a bow and arrow sort.
槍はいかがかな？	Have you considered a spear?
うちの剣を試してみなよ、 とてもバランスがいいよ！	You should try one of my swords, superbly balanced.
鎧ありますよ。 鎧はいかがですか？	What about armor? We've got armor.
やあ！	Greetings!
みなさんこんにちは	Hello there.
いらっしゃい！	Welcome!
なにか御用ですか？	What can I do for you?
おすすめ品教えましょうか？	Need a recommendation?
さらば！	Farewell!
じゃあまたな！	Goodbye then!
また来てくれよ！	Come again!
満足させるよ！	Satisfaction guaranteed!
他には？	Nothing else?
剣と盾は好みじゃない？ きっと好みの物を見つけると 思いますよ	Sword and shield not your style? I think you'll find what you're looking for here.
防具...  洗練された戦士の為に。	Armor... for the sophisticated fighter.
杖は右手に持つ 強力な武器です	The staff is a powerful weapon... in the right hands.
助けはいりますか？	How can I help you?
私達は全ての種類の 杖を販売します	We sell staffs of all varieties.
見ていって	Please – have a look.
はい？	Yes?
どうぞ	Please.
承知しました	Certainly.
他のものは？	Something else?
私に出来ることは ありますか？	Can I help you?
喜んで	My pleasure.
いい日じゃねえか	Good day.
これで全部？	That's all, then?
さようなら	Goodbye.
はい、こんにちは	Yes, a good day.
遠くから来たみたいだな、お客さん。来て見てくれ、あんたの要るものが有るかもしれないよ	I see you've traveled a long road, stranger. Come, have a look.  I might have something to suit your needs.
武器、 鎧、 ポーション、 色々取り揃えてますよ	I have a wide assortment of blades, armor and potions.
お買い得ですよ	My goods are for sale at fair prices.
どうぞ、見ていってください	Please, have a look at my wares.
探し物は見つかったかい？	Is there something you're looking for?
冒険者が欲しがる物なら 何でも売ってるよ	I sell everything an adventurer needs.
何か？	Yes?
いらっしゃい	Welcome.
何だい？冒険者さん	Yes, stranger?
いらっしゃい	Can I help you?
こんにちは	Greetings.
またな	Farewell.
さようなら	Goodbye.
ありがとう	Thank you.
また来てくれよ	Come again.
気をつけてな	Safe travels.
賢くて強い奴に 売ってるんだ。 あんた本当に うちの店で 買う気なのか？	I sell to the wise and powerful.  Are you sure you should be shopping here?
ギリシャの金で 払うのはやめてくれ。	Don't try paying with any of that Macedonian coin.
返品はできないからな。	All equipment is sold as is.
気に入らないなら 買わなくていいんだがね。	If you don't like it, you can leave it.
何が欲しいんだ？	What do you want?
売り物に触るな！	Hands off the merchandise!
なんだって？	What?
本当にいいのか？	Yes?
なにか用か？	What is it?
また来たのか？	You again?
まだ何かあるのか？	Something else?
オーケー じゃあな。	Okay bye.
またな。	So long.
清々したぜ。	Good riddance.
さっさと行けよ。	Travel far.
あばよ。	Bye.
刀！ 盾！ ポーション! すね当て! 弓! 各種兜はいかが！ おお、 何かご入り用で？	Blades!  Shields!  Potions!  Greaves!  Bows!  Helmets of all kinds!  Oh – can I help you?
刀あるよ！ 盾あるよ！ えーと、 いらっしゃい、 盾がご入り用で？	Blades! Shields! Er, hello, do you need a shield?
ポーションあるよ！ すね当てあるよ！ 困らせないでよ、 私にはお客が 必要なんだから	Potions! Greaves! Don't bother me now, I need customers.
おお！ えーと、 何をお求めで？	Oh! Er, would you like to buy something?
各種兜はいかが！ ちょっといいかい、 兜を買わないか？	Helmets of all kinds! Excuse me, can I interest you in a helmet?
盾あるよ！ すね当てあるよ！ まとめて買って 行ってよ！	Shields! Greaves! Buy the whole set!
本当にいいかい？	Yes?
なんだい？	What?
何かお探しで？	Can I help you?
刀あるよ！ 盾・・・、 おや。 また来てよ	Blades!  Sh—oh.  You again.
おお！ええっと、 いらっしゃい	Oh! Uh, hi.
また来てよ！	Come again!
またどうぞ！	Goodbye!
それじゃまた。	Bye then.
幸運を祈るよ。	Best of luck.
またね。	So long.
やれやれ・・・、 慌しいのは 嫌いなんだが。 いらっしゃい、 何が欲しいんだい？	Well... I don't get many visitors.  Greetings, how can I help you?
よお。 何が欲しいんだい？	Hello.  How can I help you?
腕にはかなり 自信あるんだ。 あんたもきっと 満足するぞ。	My handiwork is quite good.  I think you'll find it so.
どうだい、 まあ見ていけよ。	Please, have a look.
はいはい、 俺はこの辺りが 好きさ。 静かで平和だよ。	Well, yes, I like it out here.  It's quiet and peaceful.
いいさ、 気にするな。 あんたに付き合うよ。	No, it's no problem.  Take your time.
よお。	Hello.
いらっしゃい。	Greetings.
それでいいのか？	Yes?
ん？	Hmm?
よく来たな。	Welcome.
それじゃあな。	Goodbye now.
ありがとよ。	Farewell.
気をつけて行けよ。	Safe travels.
また来いよ。	So long.
じゃあな。	Bye.
歓迎するぞ、 戦士よ。 私はアテネでも 最高の品を 扱っているのだ。 他の店に これほどの物が あるはずもない。	Hail, warrior. I have the finest goods in Athens. You will find none better.
この店の刀を 上回る品を 見つけるなど 無理な話だ。	You will not find better blades than I have here.
この盾は二重に 補強されて いるのだ。	Those shields are doubly reinforced.
ポーションを 補充するといい。 役に立つぞ。	Restock on some potions. They come in handy.
この見事な鎧なら お前の役に 立つに違いない。	Some better armor would serve you well.
アテネで最高の品々だ。	The finest goods in Athens.
歓迎するぞ、戦士よ。	Hail, warrior.
歓迎するぞ。	Hail.
よく来たな。	Greetings.
会えて光栄だ。	Well met.
よく来た。	Welcome.
さらばだ。	Farewell.
また会おう。	Goodbye.
また来るがいい。	So long.
達者でな。	Good day.
アテナの加護の あらんことを。	Athena guard you.
前に船で イカリアやメロスに 行って商売してた頃、 化け物なんて いやしなかったよ。	Once I sell everything I've got, I'm setting sail for some island that's never seen a monster – Melos or Icaria.
はいよ、 何か買っていくかい？	Yes, can I help you with something?
何か買ってくれよ、 何でもいいんだよ！	Please buy something – buy everything!
魔法使いの 武器と鎧だぜ。	Mage weapons and armor.
杖を買うのかい？ それともポーション？	Buy a staff? Buy a potion?
今、買うべきだ。 俺がアテネで店を 出してるうちにな！	Buy now – before I get out of Athens!
それでいいのか？	Yes?
何が欲しい？	What do you want?
なんだい？	What?
いよお、また来たな。	Hello again.
魔法使いの道具だぜ。	Gear for magicians.
それじゃまたな。	Goodbye then.
じゃあこの辺で。	Bye now.
もういいのか？	No more?
他に何かあるか？	Anything else?
アテナは俺たちを見守っているぞ。	Athena watch us all.
私の店は以前の栄光に影を落としているよ･･私たちはここで厳しい時代に出くわした。だけど、きっと君の力になれることがあるはずだ。	My shop is a shadow of its former glory – we have fallen on hard times here.  Still, perhaps I can help you?
ここにあるものは全部売り物だ。	All that you see is for sale.
何か鎧を買わないか。最近は、誰でも防御の追加が 必要だぞ。	Buy some armor; everyone needs extra protection these days.
私は君に何に関して興味を持たせるかな？	What can I interest you in?
私たちはまだ薬を持っている。あれらは常に重宝するんだ。	We still have some potions.  Those always come in handy.
武器を必要としてるんだって?多くの種類を扱っているぞ。	In need of a weapon?  I have a large assortment.
やぁ。	Hello.
こんにちは。	Greetings.
入ってください。	Come in.
こんにちは、旅人よ。	Greetings, traveler.
いらっしゃいませ。	How can I help you?
さようなら。	Goodbye.
じゃあな。	Farewell.
じゃあ、また。	So long.
またお越しください。	Come again.
幸運を祈る。	Good luck.
獣達は 鋭い牙と爪を持っていますが、あなたは 敵を射抜かんばかりの、ゼウスのような 熱意を持っています。 そして私は、あなたに売るものを 持っています。	The beasts have claws and teeth, but you have fire -- you have Zeus-like bolts to throw.  And I -- I have things to sell you.
杖の試し振りをするときには、織物から離れてくださいね。	You can try the staffs, just *away* from the fabrics, please.
私の鎧は特別製さ。 詠唱の邪魔にならないよ	My armors are specially crafted.  They never hinder casting. 
魔法使いにぴったりの品物がありますよ。いかがですか?	Fine goods for magic users.  Can I help you?
はい、何かお探しですか?	Yes, can I help you?
魔術師用の品を売っています -- あなたは魔術師ですよね?	I sell to magicians -- you are a magician, right?
こんにちは!	Hello!
杖がご要りようですか?	Buy a staff?
鎧はいかがですか?	Seen the armor?
こんにちは!	Good day!
またいらっしゃいましたね!	Hi again!
それでは。	Bye now.
さようなら。	Goodbye.
またどうぞ。	Come again.
さようなら。	So long.
安全な旅を!	Safe travels!
あら、何かお手伝いしましょうか?	Ah, how can I help you?
新しい武器が必要ですか?	In need of a new weapon?
ポーションの予備を忘れずに	Be sure to stock up on potions.
最高級の鎧と武器です。	Finest armor and weapons.
ポーションは常に持っていましょう!	Potions are always handy!
こんにちは。	Hello.
ごきげんよう。	Greetings.
お願いします!	Please!
インベントリが一杯です	Your inventory's full.
これ以上持てません	You can't hold any more.
拾うことが出来ません	You can't carry that.
拾うことが出来ません	You can't pick that up.
拾うことが出来ません	You have no more room.
これ以上持てません	You can't carry any more
エナジーが足りません	You are out of energy
エナジーが足りません	You have no more energy
エナジーが足りません	Need more energy
エナジーが足りません	Insufficient energy
エナジーが足りません	Not enough energy
エナジーが足りません	More energy required
その技はまだ使えません	You can't use that skill now
その技はまだ使えません	That skill is not ready.
その呪文はまだ唱えられません	You can't cast that yet.
それはまだできません	You can't do that right now.
まだです	Not yet.
ポーションがありません	Out of potions
ポーションがありません	You need potions.
ポーションがありません	Potions depleted.
ポーションがありません	No potions left
ポーションがありません	No more potions
ポーションがありません	More potions needed
無効な標的です	Invalid target
それは狙えません	You can't target that.
標的がありません	No target.
それは狙えません	Can't target that
扉はロックされています	This door is locked.
現在扉を開けることが 出来ません	You cannot open the door at this time.
扉を開けることが 出来ません	This door cannot be opened.
現在扉は ロックされています	This door is locked at this time
現在扉は ロックされています	This door is locked now.
扉を開けることが 出来ません	You cannot open this door.
この扉は 反対側からのみ 開けることが 出来ます	This door can only be unlocked from the other side.
そこの戦士殿、 もしここヘロスに 休息と平和を 求めて来たのなら、 それは叶いませんよ。 私たちの村は最近、 サテュロスや そのほか 下等な獣たちに 悩まされ続けて いるのです。 あなた様の 腕を見込んで、 どうかお助けを。 農民たちは 農場にすら 辿り着けず、 蓄えを 食い潰す ばかりです。 道に沿って 村に向かい、 できる限り 助けてあげて くれませんか。	You there, soldier, if you’ve come looking for rest and peace, you won’t find it here in Helos.  Our village has recently been beset by Satyrs and other vile beasts.  The help of your fighting arm would be greatly appreciated.  Our farmers cannot get to their fields, and our supplies are running low.   Please go down the road toward the village and help where you can.
サテュロス！ ハーピー！ まるで壷に 描かれた 全てのものどもが、 怒れる神によって 我々のもとへと 送り込まれて きたかの ようです。	Satyrs!  Harpies!  It's as if all the things painted on a vase were sent against us by some angry god!
男たちには 全ての入り口を 防御させて います。 農民と 羊飼いたちは、 何マイルもかけて 保護を求めて やって来ています。	We have men defending every gate.  Farmers and shepherds have come from miles seeking shelter. 
そこの戦士殿、 もしここヘロスに 休息と平和を 求めて来たのなら、 それは叶いませんよ。 私たちの村は最近、 サテュロスや そのほか 下等な獣たちに 悩まされ続けて いるのです。 あなた様の 腕を見込んで、 どうかお助けを。 農民たちは 農場にすら 辿り着けず、 蓄えを 食い潰す ばかりです。 この箱の 中のものを 装備して お行きなさい。 道に沿って 村に向かい、 できる限り 助けてあげて くれませんか。	You there, soldier, if you’ve come looking for rest and peace, you won’t find it here in Helos.  Our village has recently been beset by Satyrs and other vile beasts.  The help of your fighting arm would be greatly appreciated.  Our farmers cannot get to their fields, and our supplies are running low.  Arm yourself with the contents of this chest.  Please go down the road toward the village and help where you can.
道に沿って お行きなさい。 ヘロスには あなたの助けが 必要です。	Go down the road.  Helos needs your help. 
サテュロスぅ？ 友よ、 そんなのはただの おとぎ話ですよ。 そうでないとしても、 彼らは森の 奥深くで 人目を避けて 暮らして いるのです。	Satyrs?  Those are just old stories, friend.  Or if they’re not, they keep to themselves, deep in the woods.
彼は村が 困っていると 言ったんでしょう？ あなたに 助けることが できたと 思いますか？	He said the village was in trouble, did he?  Think you could help?
あなたが あの魔術師を 倒してくれた おかげで、 多くの人命が 救われました。 数日もすれば、 私たちの村は 元通りに なるでしょう。 あなたが この出来事に 関わったのは おそらく 偶然ではなく、 神の思し召しに 違いありません。	You have saved many lives in defeating that Shaman.  Perhaps one day our village will grow back to its former strength.  Surely you did not happen upon us by accident.  It is as if you are a gift from the gods.
複数のサテュロス、 または その類が2匹。	More than one satyr, or two by the looks of it.
よい兆しでは ありません。 厳しい時代に なりますよ。	It doesn't bode well.  Hard times ahead.
この道の先は 本当に危険なんだ！	Trouble down the road, indeed!
あなたは 神が遣わした人に 違いない！ どうかその畑へ…。 奴らは私の馬を 殺そうと してるんです！	You must have been sent by the gods!  Please, in the field here – they're going to kill my horse!
助けてください！ そのサテュロスと 猪を止めてください！	Help me!  That satyr – those boars – stop them!
私のかわいそうな馬！	My poor horse!
その農耕馬は 私の全てです。 馬なしには 農作業ができません。	That plough-horse is all I own.  Without it, I can't farm.
サテュロス…。 まったく、 こんなところで 見かけるなんて！	A satyr – I never thought I would see a satyr!
馬を助けて くれたんですね！ ありがとう！ でも危険は これだけじゃ ないんです。 その道の先が 私の村ヘロスですが、 怪物どもは 村の出入り口や 野原や、 そこいら中に いるんです。	You saved my horse!  Thank you!  But I’m not the only one in trouble – down the road there, that’s my village, Helos.  We’ve got monsters at the gates, in the fields – they’re everywhere.
サテュロス！ そんなものを 見るなんて、 思いもよらなかった！	Satyrs!  I never thought I’d see such a thing.  
そこの道を下れば 見えてきますよ。	Just go down the road, you'll see.  
その馬は私の 唯一の持ち物です。 助けてくれて ありがとう。	That horse is the one thing I own.  Thank you for saving her.
普段なら、 私たちは 食べ物と 宿を求める 疲れきった 旅行者を 歓迎する ことでしょう。	Normally, we would welcome a weary traveler with offers of food and shelter.
ディオメデスと 話してください。 彼はヘロスの 広場にいます。	Speak with Diomedes.  You'll find him in Helos, in the town square.
村が当分 安全だと聞いて 嬉しいです。 しかしこの平安も いつまで続くの でしょうか？ 野獣どもが 戻ってきたら、 …いったいどうすれば よいのでしょう？	I'm glad to hear the village will be safe for now.  But for how long?  If the beasts return… what will we do?
物語上の 存在だと思っていた サテュロスが、 今その道や野原を 歩いているなんて、 驚くべきことです。	It's amazing to think… satyrs, things only heard of in tales, now walk our roads and fields.
こんな 奇妙な事件が 起こるなんて、 天上か大地の 奥底で 何かが起こった せいでしょうか？	What took place in the heavens, or deep beneath the earth, that brought these strange times upon us?
この狂乱が 落ち着くまで、 私はこの馬と 安住の地を 探すことにします。	My horse and I will have to find a safer place until this madness is over.
あなたに幸運が 訪れますように。	Good luck to you.
こんにちは。 私はアイソン。 この小さな村の 自警団の隊長です。 何もお構い できませんが、 何かご入り用ですか？ 怪物どもに 農場を荒らされて いるうちは、 私たちは全てを 失っているも 同然です。 あの忌々しい 魔術師めが…。 ディオメデスは 髪も引き ちぎれんばかりに、 頭を掻き むしっています。	Hello, I am Aeson, guard captain for this small village.   We are holding up... but what's the use?  If the monsters lay waste to our farms, we're lost all the same.  It's that cursed shaman... Diomedes is tearing his hair out over it.
村の男たちは 交代で警備しています。 武器は少なく 錆びついたもの ばかりですが、 家と家族を 守るためなら 戦わねば。 あなただって そうなさる でしょう？	The men of this village hold guard on shifts.  Our weapons are rusty and few, but you fight well when you defend your home and family.
旅人よ、 ようこそヘロスへ。 どうぞお入りください。	Enter, traveller, and welcome to Helos.
襲撃はまだ 止みませんが、 あなたの おかげで 肩の荷が 少しは軽く なりました。 何人かでも スパルタ兵が いてくれたら、 毎晩もっと よく眠れる でしょうに！	We are still attacked day and night, but your help has lifted a burden from my mind.  If a few Spartans were here, I would sleep well every night!
ヘロスは 当分安全です。 休んでいって ください。 商人は 真っ当な商売を していますし、 村人は親切です。	Helos is safe for now.  Seek rest here.  Our merchant has fair prices and our villagers are friendly.
この泉は 神の恩寵を 受けています。 水に触れると、 あなたの魂が 泉の水を飲む と伝えられています。 あなたが 戦いの場で 暗黒の運命に 倒れても、 あなたの肉体は 泉に引き戻され、 再び命を得て 戦うことが できます。	The waters within these fountains are blessed by the gods.  They say when you touch the water, your soul drinks from it.  Should you suffer the dark fate in battle, your body will return to the fountain and you may live to fight again.
違う泉の 水を飲んで みてください。 するとあなたの魂は 新たな泉に 座を占める でしょう。	Drink from a different fountain, and the soul shall bind to the new location. 
この祭壇は、 人間の歴史と同じくらい 古いものだそうだ。 人類に火をもたらした プロメテウスが これを創ったらしい。 古代の人間は、 これを使って 旅をしたそうだよ。	These shrines are ancient – as old as humankind, some say.  They say Prometheus, who brought us fire, built these, too, and in ancient times men traveled by them.  
ほんの少しだが、 今でも使える ものがある。 偉大な神の 為せる業だ。 その中の いくつかは、 この石ころを通して お互いに 行き来することが できるんだ。 つまり、 昔話のとおり ってわけさ。	A very few still can.  Those destined for greatness, touched by the gods.  Even fewer can travel to them with a simple stone, as well.  Or so the old tales claim.
怪物よ！ 村中にいるの！ 奴らは行く手にある 全てのものを 焼き払い、 皆殺しにしてる。 こんなの 今まで見た ことがない。 混乱と破壊…。 まったく、 手に負えないわ。	Monsters!  All over the village!  They’re burning and killing everything in their path.  I’ve never seen such things in my life.  The chaos and destruction it… is all too much for me to handle.
サテュロスたちは 畑の作物を 焼き払って いるの。 このままでは、 遠くで栽培 しなおした としても、 私たちは 飢え死にだわ。	The satyrs are in our fields, destroying our crops.  At this rate, we'll starve – if we make it that far.
お願い！ 何とかしてちょうだい！	Please, you must do something!
とても恐ろしかった。 奴らは どこから ともなく 現れたわ。 私たちが 畑仕事を していると、 煙の臭いが してきて、 そうしたら そこに奴らが いたの。	It was so awful, they came out of nowhere. We were working in the field, first I smelled the smoke, then there they were. 
私たちには 本当にあなたの 助けが必要なの。 お願い、 村の長 ディオメデスと 話してちょうだい。	We desperately need your help. Please, talk to Diomedes, our village elder.
お願い、 村の長ディオメデスの 話を聞いて。	Please, speak with Diomedes, our village elder.
あなたが 私たちの命を 救ってくれたのよ。 全ての作物が 荒らされた わけでは ないわ。 冬が来ても 飢えることは ないでしょう。	I want you to know you've saved our lives. All the crops were not ruined – we will not starve through the winter.
この苦しかった日々は、 きっとまた夢に 出てくるわ。 でもその夢は、 見知らぬ勇士が 私たちを 救うところで 終わるに 違いないわ。	I think I will have nightmares of this day, but they will always end with the brave stranger who saved our lives.
あなたに 神のご加護が ありますように。	I will make an offering to the gods and ask them to smile on your fortunes.
スパルタは 私たちの村の盟邦よ。 彼らは強大で、 ギリシャの もうひとつの大国、 遥か遠方の アテネにも 匹敵するわ。	Our village is a friend to the Spartans. They are mighty and rival far-away Athens, the other great power in Greece.
収穫の季節には、 村中総出で 刈り入れにあたるの。 今年は豊作だと いいわね。	In harvest season, the whole village works hard to gather all the crops. This year, we hope there will be enough.
ありがとう、 旅のお方。 本当にありがとう。	Thank you, traveler. Thank you.
こんにちは、 旅のお方。 私はディオメデス、 この小さな村の村長だ。 ここまで 戦い抜いて きたって 言うのかい？ もし本当なら、 お願いだ、 頼みを 聞いてくれ。 あんたの助けが 必要なんだ！ 数日前、 サテュロス シャーマン 率いる 怪物どもが 現れて、 わしらを 農場から 追い出して しまった。 わしらは必死に 村の入り口を 守ったが、 誰も奴らが 作物を焼くのを 止められ なかった。 農場地帯は、 この橋のすぐ 向こう側、 川の反対側に 広がっている。 あの魔術師を 最後に 見かけたのは、 農場を越えた ヘロス森の端だ。 頼む、 この恐ろしい 魔法使いを 退治してくれ。 できる限りの 礼はしよう。	Hello stranger, I’m Diomedes, the leader of this small village.  Do you mean to say that you fought your way here?  If that’s true then please, I beg of you – we need your help!  Monsters led by a powerful satyr shaman appeared a few days ago and have driven us from our farms.  We can hardly defend the village gates and have no one who can stop them from destroying our crops. Our farmland lies on the other side of the river, just over this bridge.  The shaman was last seen beyond the farms at the edge of the Helos Woods.  Please, rid us of this terrible sorcerer.  We will pay you what we can.
頼む、 わしらの農場と 家族が危険に 晒されて いるんだ。 奴らは 作物はおろか、 残された わずかな 食料さえ 焼いてしまう だろう。	Please, our farms and our families are not safe.  They'll destroy our crops, our only source of food.
農民たちは 怯えている。 彼らは穏和な人々で、 スパルタ人のような 戦士では ないんだ。	Our farmers are terrified, they are peaceful folk and are no warriors like the Spartans.
わしらの力じゃ、 獣どもから 村の門を 守るだけで 精一杯なんだ。	We barely have men enough to keep the beasts from our gates.  
農場はその橋の すぐ向こうだ。	Just over the bridge, the farms are right there.
あの恐ろしい シャーマンを 倒したって？ 何てこった、 大した勝利だよ！ もっとも、 明日にはもっと 沢山の怪物が 現れるかも しれないがね。 それでも 何とか村人 全員に食料が 行き渡るよ。 この金を 受け取ってくれ。 十分な金額で ないのは わかっている。 スパルタの将軍 レオニダスを訪ね、 わしの代わりに 陳情してくれ。 再び襲撃 される前に、 守備兵を 早急に送って くれるよう 頼んで 欲しいんだ。	You defeated the powerful shaman?  Astounding!  Your victory today is great, but I fear there will be more monsters tomorrow.  At least there is enough of the harvest left to feed us all.  Take this gold.  I know it’s not much.  Please seek out the Spartan general, Leonidas.  Petition him on my behalf.  Ask him to send a few of his warriors to protect us – and quickly, before we are again overwhelmed.     
何度でも 礼を言おう、 見知らぬお方。 あんたには 世話になった。 …しかし、 スパルタ兵が ヘロスの 守備に就いて くれるまで、 安心はでき ないんだ。	Thank you again, stranger.  We are indebted to you… but we won't be safe until the men of Sparta guard Helos. 
スパルタの レオニダス将軍に 伝えてくれ。 きっと助けて くれるはずだ。	Please bring word to General Leonidas in Sparta.  I am sure he will send help.
さあ行け、 ゼウスがあんたを 見守ってくださるさ。	Go now, and Zeus watch over you.
サテュロス シャーマンはまだ健在だ。 …頼む、 奴がいる限り、 わしらは 農場に戻れ ないんだ。	The satyr shaman has not been killed – please, we cannot return to our farms until he is destroyed.
お願いだ、 邪悪な魔法使いを 退治してくれ。	Please – the evil shaman must be destroyed.
あなたは 私たちの農場と 生活を守って くださいました。 本当に感謝 しています。	You have saved our farms and our livelihoods. For this, we thank you.
どうかお礼を 言わせてください、 見知らぬお方。	You have our thanks, stranger.
お願いします、 あなたの助けが 必要です。 私どもの畑に、 謎の魔術師に 率いられた 奇怪な怪物どもが 跋扈して いるのです。 この恐ろしい 魔法使いを 退治しては いただけ ませんか？	Please, I must beg your help. Our fields have been overrun by strange monsters led by a mysterious shaman.  Will you rid us of this terrible sorcerer?
お願いです、 農場から 化け物を 追い払って ください。	Please, drive the these creatures from our farms.
私たちには、 この収穫が 頼みの綱 なのです。 それを怪物どもに 焼き払われて しまったら、 一体どうしたら よいのです？	Our entire village depends on the harvest. What will we do if the monsters destroy it?
どうか、 この恐ろしい 魔術師から 我々を救って ください！	Please, save us from this evil shaman!
あなたは私たちの 農場と生活を救って くださいました。 本当に感謝 しています。 これは私たちの 気持ちです。 受け取って ください。	You have saved our farms and our livelihoods. For this, we thank you. Please, take this, it is what we have.
本当にありがとう、 見知らぬお方。	You have our thanks, stranger.
お急ぎならば お行きなさい、 旅のお方。 しかし我々には あなたの 手助けが 必要だ。 奇怪な怪物どもが 我々の農場を 襲ってるんだ。 頼む、 村に戻って ディオメデスの 話を聞いてくれ。	Leave if you must, traveller, but we need your help.  Strange monsters attack our farms.  Please, speak with Diomedes back in the village.
ディオメデスは 村の真ん中あたりで 村人たちを 慰めている。 頼む、 戻って彼と 話してくれ。	Diomedes is comforting some villagers in the town's center. I beg of you, go back and speak to him.
見知らぬお方、 我々に手を 貸して欲しい。 引き返して ディオメデスと 話してくれないか。	Stranger, we need your help. Please turn back and speak with Diomedes.
ディオメデスなら 川の近くにいる。	Diomedes is on the other side of the village, near the river.
